771471381	-758604687	-1108405789	-469277242	-227190846	179878876	-385238411	916898636
1735063987	-755190775	460018456	-840157697	1409648119	-1377770035	847973055	-906241348
1897430467	-152846101	1626859500	-1825369856	847884951	1293911553	308427076	-1740299020
-1718387314	-1945684475	-1189901373	-1814736495	-1181698513	-999116294	-49136672	964207560
-351008812	-228513095	-1413039052	-246361264	452378314	-1674846889	-1453752296	405601537
858557201	1753132074	638400518	204143039	1083365263	219155143	-252010460	484521052
-1378471836	475446256	160029940	1406384273	-1926830606	-51269265	-2037062673	865022530
1786458184	1945959661	-1687076721	1299672629	-729175072	-698738684	-1444373484	231926773
1884495646	-1033834518	-1685740020	861075144	1446929731	-1042917873	-351324504	443425526
-1264016039	-1943308889	-1369860627	15566729	203649424	793417540	1406940036	-757968850
1229820469	1231356323	-516079270	-1629739511	1264419713	43860231	1246508502	1744574186
-1599566664	167468091	-1015736243	-61664693	2104120357	1894264466	-237075032	-1640905739
940304537	-94316454	-151902041	-1164855852	1716387042
